index,food_name,WWEIA Category description,WWEIA Category number,Energy (kcal),Is_vegeterian,Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"Water
(g)",is_breakfast,is_lunch_dinner,Cost_CAD,carbon_footprint_gCO2,water_footprint_liters,is_lunch,,Protein (g)
185,Chili with meat,Meat mixed dishes,3002,135,0,11.28666667,6.636666667,1.396666667,1.866666667,6.983333333,2.420333333,3.028333333,0.663,31.66666667,1.333333333,11.66666667,11,111.3333333,17,2081.333333,18.33333333,0.058,0.096666667,2.230666667,0.21,0,30.33333333,30.33333333,30.33333333,38.76666667,0.906666667,0,5.933333333,0,0.64,0,4.366666667,18.33333333,107,19.66666667,1.713333333,2.48,0.114666667,9,253.3333333,375.6666667,0,0,0,73.56,0,1,4,430,280,,,11.28666667
187,Chiliburger,Burgers,3702,232,0,14.76,17.67,2.52,1.5,11.01,4.196,4.444,0.855,39,0,3,3,33,5,622,7,0.192,0.179,3.793,0.244,15,37,62,52,43.7,1.28,0,2.2,0.1,0.21,0,3.7,52,130,22,2.53,2.68,0.107,18.1,243,356,0,0,0,54.86,0,1,6,721,474,,,14.76
189,Chinese pancake,"Pancakes, waffles, French toast",4404,207,1,4.05,45.38,0.07,0.7,0.38,0.102,0.117,0.1,0,0,0,0,0,0,0,0,0.262,0.025,2.379,0.088,89,3,154,92,3.3,0,0,0,0,0.06,0,0.1,17,62,15,2.32,0.62,0.123,8.6,62,5,0,0,0,49.8,1,0,2,646,424,,,4.05
193,Clam cake or patty,Seafood mixed dishes,3006,246,0,19.02,6.79,0.49,0.2,15.35,2.501,4.469,7.213,80,120,120,0,1,2,0,51,0.05,0.098,0.576,0.027,2,11,15,13,108.9,11.39,0,0.3,0.3,2.21,0,23.1,58,259,26,2.24,0.79,0.074,40,476,408,0,0,0,55.71,0,1,6,763,502,,,19.02
194,Clams Casino,Seafood mixed dishes,3006,162,0,11.8,10.3,1.8,1,7.9,2.22,3.347,1.801,25,59,66,3,83,1,0,89,0.157,0.105,2.198,0.146,6,13,22,19,42.2,4.04,0,15.9,0.2,0.71,0,8.3,43,155,20,1.24,0.78,0.072,21.1,185,454,0,0,0,67.72,0,1,6,511,334,,,11.8
195,Club sandwich on wheat,Deli and cured meat sandwiches,3740,229.5,0,16.28,20.255,2.575,2.25,9.075,3.1775,2.985,1.735,35,19,19.5,0,6,0.5,0,28.5,0.307,0.223,5.793,0.2925,6.5,26.5,36.5,32.5,38.9,0.375,0,0.05,0.45,0.325,0,2.5,135.5,255,37,1.67,1.615,0.1095,27.8,304,781.5,0,0,0,51.09,0,1,4,713.5,469,,,16.28
196,Club sandwich on white,Deli and cured meat sandwiches,3740,231.5,0,15.445,21.855,2.63,0.95,8.915,3.22,3.0125,1.8635,35,19,19.5,0,5.5,0.5,0,20,0.354,0.234,5.741,0.2635,36.5,12.5,74.5,48.5,36.05,0.375,0,0,0.45,0.27,0,0.25,156,232.5,24.5,1.76,1.415,0.081,25.9,273.5,785.5,0,0,0,50.56,0,1,4,719.5,473,,,15.445
197,Club sandwich or sub,Deli and cured meat sandwiches,3740,234,0,15.99,18.43,2.47,0.8,10.55,4.421,3.231,1.692,41,43,44,0,13,1,0,18,0.306,0.246,5.204,0.256,30,12,62,42,35.4,0.49,0,0,0.8,0.31,0,0.5,222,270,25,1.52,1.58,0.072,25.2,271,814,0,0,0,51.58,0,1,4,727,478,,,15.99
198,Cobb salad,Vegetable dishes,3104,93,0,11.32,2.65,1.1,1.2,4.33,1.046,2.118,0.634,61,15,82,34,787,4,800,763,0.075,0.125,3.645,0.186,0,24,24,25,51.1,0.2,0,9,0.2,0.66,0,31.9,25,120,18,0.45,0.58,0.064,11.2,281,159,0,0,0,80.82,0,1,3,257.5,149.5,,,11.32
199,Codfish salad,Seafood mixed dishes,3006,183,0,6.61,2.81,1.51,0.7,15.94,2.478,10.759,1.583,15,4,17,31,144,0,795,51,0.043,0.032,0.883,0.12,0,10,10,10,26.3,0.28,0,5.6,0.3,3.67,0,6.5,15,83,17,0.36,0.24,0.038,10.4,245,415,0,0,0,72.86,0,1,6,482.5,284.5,,,6.61
200,Codfish with starchy vegetables,Seafood mixed dishes,3006,135,0,3.53,18.46,2.93,2.7,5.43,0.852,3.577,0.562,6,1,134,38,1570,8,263,18,0.065,0.038,0.676,0.2,0,13,13,13,20.4,0.09,0,4.8,0.1,2.26,0,5.4,30,74,27,0.51,0.26,0.118,4.5,419,54,0,0,0,71.45,0,1,6,362.5,212.5,,,3.53
202,Congee,Rice mixed dishes,3202,51,1,2.8275,7.3075,0.155,0.225,1.04,0.343,0.39875,0.1615,25.75,9.5,10.25,0,11.25,0.75,0,46.5,0.0505,0.0545,0.853,0.056,13.75,7.5,30.25,20.75,23.05,0.14,0,0.45,0.125,0.0925,0,4,9.5,38.75,6.25,0.4825,0.37,0.04425,5.85,55.25,233.75,0,0,0,87.9925,0,1,3,178,112,,,2.8275
203,Corn dog,Frankfurter sandwiches,3703,250,0,8.57,26.96,7.54,1,12.02,3.466,4.732,3.354,44,47,48,0,3,4,0,132,0.141,0.155,2.786,0.117,53,7,97,60,26.9,0.48,0,0.5,0.4,0.6,0,5.8,72,224,17,1.9,0.85,0.072,27.6,125,668,0,0,0,50.32,0,1,4,775,510,,,8.57
211,Corned beef sandwich on wheat,Deli and cured meat sandwiches,3740,265,0,15.11,22.29,2.7,2.6,12.54,4.4225,4.9115,1.127,50.5,20,20.5,0,7,0.5,0,32,0.2035,0.206,3.6905,0.1855,6.5,31.5,43.5,38,42.7,0.845,0,0.1,0.3,0.295,0,3.5,149.5,179.5,34.5,2.37,2.925,0.162,29.55,166.5,721,0,0,0,47.435,0,1,4,7180,3985,,,15.11
212,Corned beef sandwich on white,Deli and cured meat sandwiches,3740,266.5,0,14.165,24.095,2.765,1.1,12.355,4.471,4.943,1.2725,50.5,20,20.5,0,6,0.5,0,22.5,0.256,0.2185,3.6325,0.153,41,16,85.5,56.5,39.55,0.845,0,0,0.3,0.23,0,0.95,173.5,154,20.5,2.47,2.7,0.13,27.4,132.5,726,0,0,0,46.84,0,1,4,7220.5,4007.5,,,14.165
216,Crab cake sandwich,Seafood sandwiches,3730,231,0,12.74,19.39,2.22,1,11.18,1.922,3.256,5.423,76,14,14,0,0,1,0,51,0.213,0.167,3.077,0.115,31,37,90,68,63.7,1.6,0,1.7,0.2,1.88,0,15.4,123,166,28,1.66,2.18,0.425,30.5,180,436,0,0,0,54.84,0,1,6,718,472,,,12.74
217,Crab salad,Seafood mixed dishes,3006,188,0,9.4,1.27,0.57,0.4,15.89,2.531,3.552,9.382,58,4,9,0,62,1,0,67,0.02,0.065,1.47,0.095,0,36,36,36,49.8,1.71,0,4.6,0,1.68,0,40.4,59,128,21,0.3,1.99,0.418,22.2,201,462,0,0,0,71.71,0,1,6,495,292,,,9.4
218,Crab salad made with imitation crab,Seafood mixed dishes,3006,197,0,4.07,8.66,3.65,0.6,16.28,2.62,3.744,9.644,19,3,9,0,64,1,0,69,0.023,0.057,0.384,0.08,0,11,11,11,15.4,0.3,0,3.1,0,0.86,0,41.9,19,148,24,0.24,0.22,0.021,11.4,116,530,0,0,0,68.96,0,1,6,517.5,305.5,,,4.07
219,Crabs in tomato-based sauce,Seafood mixed dishes,3006,144,0,12.52,2.92,1.16,0.6,8.9,1.443,5.802,0.983,66,1,7,1,76,2,2308,19,0.028,0.08,2.07,0.153,0,39,39,39,57.9,2.25,0,7.9,0,3.28,0,6.8,72,169,30,0.72,2.66,0.595,29.2,262,617,0,0,0,73.16,0,1,6,457,298,,,12.52
223,Crepe,"Pancakes, waffles, French toast",4404,201.5,1,6.785,23.3775,9.2975,0.65,9.055,2.62825,3.55925,1.92275,110.75,87.5,89,0,16.25,3.5,0,141.25,0.16125,0.2425,1.09225,0.05625,14.5,17.75,42.25,32.25,84.75,0.4275,0,0.85,1.175,0.76,0,5.625,77.5,118.25,15.75,1.575,0.68,0.04375,11.475,158.25,237.75,0.25,10.25,0,59.5725,1,0,2,629.5,413,,,6.785
224,Cuban sandwich,Meat and BBQ sandwiches,3742,228,0,15.86,16.3,2.46,0.8,10.69,4.376,3.735,1.508,44,32,33,0,12,1,0,28,0.365,0.279,3.294,0.21,17,15,43,32,45.5,0.68,0,0.6,0.4,0.3,0,3.8,159,197,22,1.75,2.35,0.088,29.6,212,553,0,0,0,54.42,0,1,4,709,466,,,15.86
228,Dirty rice,Rice mixed dishes,3202,112,0,5.12,17.25,0.87,0.6,2.25,0.403,0.784,0.702,53,207,208,1,11,1,1,18,0.123,0.17,1.745,0.106,30,32,84,62,17.5,1.07,0,5.4,0,0.39,0,2.8,15,63,9,1.77,0.78,0.098,10.3,85,316,0,0,0,74.33,0,1,3,305,178,,,5.12
229,Dosa,"Pancakes, waffles, French toast",4404,197,1,5.58,33.92,0.7,2,4.16,0.5795,1.6735,1.6,0,0,0.5,0.5,6,0.5,0,2,0.2165,0.038,1.546,0.1085,48.5,49,131.5,97.5,15.9,0,0,0.8,0,0.81,0,4.85,16.5,71,15.5,2.03,0.74,0.15,4.75,120.5,319.5,0,0,0,54.87,1,0,2,616,404,,,5.58
230,Double cheeseburger,Burgers,3702,294.1818182,0,19.08909091,12.76909091,2.24,0.7,18.07909091,7.758454545,6.754,0.987636364,62.72727273,35.54545455,37,0.090909091,16.18181818,1.363636364,120.0909091,10.27272727,0.148818182,0.221090909,4.251,0.294181818,11.63636364,24.90909091,44.18181818,36.18181818,52.36363636,1.825454545,0,0.472727273,0.627272727,0.187272727,0,3.172727273,165.0909091,210.8181818,23.27272727,2.353636364,3.537272727,0.083090909,22.32727273,243,445.6363636,0,0,0,47.78,0,1,6,907.5454546,598.3636364,,,19.08909091
231,Double hamburger,Burgers,3702,288.3333333,0,19.61555556,12.74777778,1.734444444,0.777777778,17.05444444,6.673,7.056333333,0.930333333,61.66666667,0,0,0,0,0,0,6.444444444,0.152111111,0.200111111,5.048111111,0.344111111,10.77777778,27.66666667,45.88888889,38.33333333,59.12222222,1.978888889,0,0.233333333,0.133333333,0.078888889,0,3,47.55555556,159.5555556,23,2.652222222,3.794444444,0.091777778,22.95555556,261.4444444,330.8888889,0,0,0,48.79111111,0,1,6,889.9999999,586.6666666,,,19.61555556
232,Duck egg,Eggs and omelets,2502,224,1,11.96,1.36,0.88,0,18.55,4.927,8.11,2.78,828,204,206,0,24,11,0,428,0.117,0.358,0.168,0.258,0,56,56,56,196.9,4.03,0,0,1.6,2.1,0,5.1,60,206,16,3.6,1.32,0.058,33.9,208,264,0,0,0,66.74,1,0,4,697,458,,,11.96
233,Dukboki or Tteokbokki,Rice mixed dishes,3202,131,0,4.11,19.61,1.52,0.8,4.05,0.939,0.821,1.914,6,1,25,4,285,7,0,21,0.046,0.047,0.757,0.066,0,14,14,14,12.7,0.22,0,4.7,0,1.7,0,6,19,70,14,0.39,0.37,0.062,4.7,104,198,0,0,0,71.36,0,1,3,418,272,,,4.11
236,Egg burrito,Egg/breakfast sandwiches,3706,252,0,11.3975,19.28,1.7125,1.325,14.1825,4.596,4.72625,3.27175,206.5,105.25,106.25,0,5.75,7,0,245.5,0.23525,0.33,1.954,0.071,29.5,32.25,82,61.5,135.825,0.53,0,0,1.5,1.21,0,6.375,142.5,217.25,16.25,2.23,1.1125,0.04475,26.225,136.25,499,0,0,0,53.1275,1,0,4,781,514,,,11.3975
237,Egg casserole with bread,Eggs and omelets,2502,175,1,11.43,10.22,2.77,0.4,9.75,3.901,3.199,1.489,114,84,84,0,1,3,0,113,0.162,0.247,2.152,0.122,10,16,32,26,80.5,0.49,0,0,1.1,0.44,0,0.5,142,178,17,1.15,1.32,0.042,19.6,184,420,0,0,0,66.72,1,0,1,725,447.5,,,11.43
238,Egg omelet or scrambled egg,Eggs and omelets,2502,176.097561,1,12.00707317,1.518292683,0.512073171,0.12195122,13.57682927,4.572768293,4.771341463,2.567853659,338.2439024,171.0609756,179.6341463,2.463414634,90.64634146,11,61.63414634,555.695122,0.068121951,0.358341463,0.384878049,0.100304878,0,46.26829268,46.26829268,46.26829268,219.3182927,0.760853659,0,1.430487805,2.265853659,1.417317073,0,13.00121951,88.59756098,191.4756098,13.7804878,1.445731707,1.275,0.01554878,27.58292683,154.8170732,310.5243902,0,0,0,71.43841463,1,0,1,553.292683,362.195122,,,12.00707317
239,Egg roll,"Egg rolls, dumplings, sushi",3406,266.5,0,6.8675,27.795,5.21,2.075,14.135,2.16475,4.9975,5.943,8.75,1.75,44.5,156.25,431.75,0,9,130.5,0.25775,0.228,2.52125,0.10425,4.25,58.25,66.25,62.5,19.425,0.0575,0,5.85,0.025,2.14,0,42.025,46.25,81,22,1.785,0.58,0.0945,12.225,212,449.75,0,0,0,49.38,0,1,4,824.5,543,,,6.8675
240,Egg salad,Eggs and omelets,2502,182.125,1,10.07625,2.67875,2.13375,0,14.1775,3.467375,4.538875,4.453875,297.375,117.75,119.125,0.5,13.375,8.25,0.5,283.5,0.0545,0.408375,0.05875,0.100625,0,35.375,35.375,35.375,234.7875,0.88375,0,0.025,1.725,1.33875,0,13.5125,42,143,8.375,0.97625,0.845,0.013375,24.7375,109.75,418.5,0,0,0,71.32125,1,0,2,480.3125,283.1875,,,10.07625
241,Egg salad sandwich on wheat,Egg/breakfast sandwiches,3706,259,0,10.64,15.81,2.41,1.8,16.75,3.509,4.589,7.105,205,81,82,0,7,6,0,211,0.169,0.347,1.662,0.119,5,43,52,48,168.3,0.61,0,0,1.2,1.09,0,23.3,82,150,24,1.71,1.03,0.073,25.9,133,399,0,0,0,54.96,1,0,4,672.5,398.5,,,10.64
242,Egg salad sandwich on white,Egg/breakfast sandwiches,3706,260,0,9.98,17.07,2.45,0.8,16.62,3.543,4.611,7.206,205,81,82,0,7,6,0,205,0.206,0.356,1.621,0.096,29,32,81,61,166.1,0.61,0,0,1.2,1.05,0,21.5,98,132,14,1.78,0.87,0.051,24.5,109,402,0,0,0,54.54,1,0,4,675,400,,,9.98
243,Egg sandwich on English muffin,Egg/breakfast sandwiches,3706,242.75,0,12.72,18.6575,1.9375,1.375,13.045,5.18925,4.29825,2.0895,161.25,108.25,109.5,0,15,5.5,0,189.5,0.249,0.30425,2.33225,0.098,22,36,72.5,57.5,107.125,0.5825,0,0.7,1.475,0.945,0,2.625,206.75,202.25,19.25,2.315,1.505,0.0665,25.575,145.75,503.5,0,0,0,53.4075,1,0,4,753.25,495.5,,,12.72
244,Egg sandwich on bagel,Egg/breakfast sandwiches,3706,257.75,0,12.765,29.0725,4.955,0.875,10.025,3.8715,3.3445,1.70825,120.75,80,81.25,0,11,4,0,128.25,0.35525,0.33975,3.047,0.09975,44.25,28,102.75,72,83.575,0.425,0,0,1.125,0.785,0,1.7,143.5,180,23.25,2.475,1.2775,0.0795,24.4,138,491.5,0,0,0,45.945,1,0,4,1056,654.375,,,12.765
245,Egg sandwich on biscuit,Egg/breakfast sandwiches,3706,309.6,0,11.704,19.724,2.076,1.08,20.39,9.5832,5.4892,3.0488,154,97.2,98.4,0,9.8,4.8,0,163.4,0.2634,0.3164,2.6194,0.105,23.2,32.2,71.4,55.4,97.74,0.508,0,0,1.26,0.986,0,3.9,117.4,342.4,15,1.932,1.194,0.0494,21.06,162.4,730.8,0,0,0,45.456,1,0,4,1263.4,784,,,11.704
246,Egg sandwich on croissant,Egg/breakfast sandwiches,3706,311,0,12.555,19.0075,4.94,1,20.4625,9.3955,6.28,2.304,185.75,185,188.25,0,29.25,5.75,0,198.75,0.2165,0.2985,1.659,0.10425,23.25,30.75,70.5,54,115.425,0.625,0,0.1,1.45,1.14,0,2.85,154.75,208.75,16.25,1.525,1.3875,0.0455,25.825,152,466,0,0,0,45.75,1,0,4,958,632,,,12.555
247,Egg sandwich on griddle/pancake,Egg/breakfast sandwiches,3706,264.5,0,10.005,19.215,7.04,0.65,16.525,5.156,6.0635,3.669,188,117.5,118.5,0,13,6,0,216,0.1255,0.2705,1.1005,0.1055,11,24,42,34.5,121.85,0.61,0,0,1.6,1.645,0,6,137,220.5,14,1.23,1.145,0.0295,18.25,148.5,502,0,0,0,52.07,1,0,4,818.5,539,,,10.005
248,Egg sandwich on wheat bread,Egg/breakfast sandwiches,3706,253.75,0,12.7375,19.94,2.57,2.275,13.6375,4.56875,4.615,2.79525,165.75,95.25,96.25,0,10.25,5.25,0,209,0.22225,0.2805,2.768,0.133,6.25,44.75,55,50.75,114.075,0.505,0,0.05,1.325,0.995,0,4.45,148.25,193.5,31.5,2.0925,1.4975,0.092,26.725,176,435.75,0,0,0,51.625,1,0,4,1040,644.375,,,12.7375
249,Egg sandwich on white bread,Egg/breakfast sandwiches,3706,255.25,0,11.9075,21.5325,2.625,0.975,13.475,4.61125,4.642,2.923,165.75,95.25,96.25,0,9.75,5.25,0,200.5,0.2685,0.2915,2.71625,0.10425,36.25,30.75,92.25,67,111.275,0.505,0,0,1.325,0.9425,0,2.175,169.25,171.25,19.25,2.18,1.2975,0.0635,24.875,145.75,440.25,0,0,0,51.1,1,0,4,1046,648.125,,,11.9075
250,Egg white,Eggs and omelets,2502,120.5714286,1,10.79285714,2.497142857,0.85,0.1,7.49,2.586142857,2.467142857,1.596428571,13.42857143,38.14285714,53,0,180.7142857,1,0,364.7142857,0.024285714,0.332142857,0.442142857,0.069571429,0,8.285714286,8.285714286,8.285714286,7.271428571,0.188571429,0,2.014285714,0.314285714,0.881428571,0,27.9,68.57142857,64.42857143,16.14285714,0.21,0.362857143,0.029142857,16.81428571,180.4285714,358.8571429,0,0,0,77.87142857,1,0,1,386.7142858,251.1428572,,,10.79285714
251,Egg white omelet,Eggs and omelets,2502,85.85714286,1,10.17,2.278571429,0.681428571,0,4.048571429,1.104,1.428428571,1.123,3.571428571,21.28571429,22,0,10.42857143,0.142857143,0,0,0.003142857,0.353,0.090428571,0.041142857,0,3,3,3,1.242857143,0.071428571,0,0,0.057142857,0.591428571,0,3.285714286,7.285714286,14.85714286,10.28571429,0.08,0.03,0.022,17,155.5714286,284.5714286,0,0,0,82.57,1,0,1,282.5714286,181.7142857,,,10.17
252,Egg white sandwich,Egg/breakfast sandwiches,3706,185.6666667,0,11.12,20.77,2.073333333,1.5,6.5,2.635,1.82,1.226666667,16.33333333,34,35,0,11.66666667,0.666666667,0,20.33333333,0.216333333,0.306,2.230666667,0.074,24,20.33333333,60.66666667,44,14.26666667,0.273333333,0,0.766666667,0.4,0.563333333,0,2.7,160.3333333,114,18.66666667,1.92,0.963333333,0.076333333,19.6,148,441,0,0,0,59.82,1,0,4,582.0000001,381.3333334,,,11.12
254,Eggplant parmesan casserole,Vegetable dishes,3104,155,1,7.02,8.96,3.01,1.9,10.5,3.551,3.58,2.181,24,47,53,0,75,1,3735,25,0.059,0.143,0.827,0.087,4,15,22,19,16.5,0.37,0,2.6,0.1,1.66,0,7.5,180,152,18,0.72,1.02,0.082,8.1,225,351,0,0,0,71.56,0,1,3,412.5,242.5,,,7.02
255,Eggplant with cheese and tomato sauce,Vegetable dishes,3104,90,1,6.16,6.34,3.39,2.2,4.84,2.667,1.081,0.257,15,44,50,0,76,1,3618,27,0.033,0.113,0.658,0.09,0,18,18,18,9.7,0.33,0,3,0.1,0.67,0,3.2,164,138,19,0.45,0.95,0.087,6.3,246,325,0,0,0,80.79,0,1,3,250,145,,,6.16
258,Falafel,"Bean, pea, legume dishes",3102,514,1,8.28,28.96,4.52,4.8,41.19,5.427,17.014,15.928,0,0,12,0,136,11,0,111,0.134,0.099,0.8,0.159,5,75,83,79,37.5,0,0,7.3,0,7.74,0,72.2,86,112,31,2.31,1.02,0.178,1.4,259,499,0,0,0,18.73,0,1,4,1567,1038,,,8.28
259,Falafel sandwich,Vegetable sandwiches/burgers,3744,265,1,6.22,27.04,2.98,2.5,14.76,2.105,6.035,5.485,1,3,22,7,222,7,264,120,0.23,0.153,1.673,0.089,25,36,79,61,19.7,0.06,0,5.2,0,2.8,0,29.8,67,82,21,1.55,0.67,0.122,8.9,191,359,0,0,0,50.22,0,1,3,820,540,,,6.22
260,Fish and noodles with mushroom sauce,Seafood mixed dishes,3006,131,0,6.3,14.79,0.79,0.8,5.11,0.93,1.639,2.019,23,11,11,0,1,0,0,20,0.164,0.096,1.498,0.074,38,5,69,43,29.5,0.25,0,0.2,0.4,0.77,0,8,24,75,19,0.85,0.48,0.06,18.3,89,312,0,0,0,72.64,0,1,6,1073,665,,,6.3
261,Fish and rice with cream sauce,Seafood mixed dishes,3006,133,0,5.54,15.76,1.32,0.2,4.98,1.622,1.572,1.179,14,40,41,0,12,0,0,0,0.115,0.06,1.174,0.133,27,3,50,30,17.6,0.26,0,0.2,0.5,0.72,0,3.3,41,69,15,0.73,0.44,0.042,9.5,95,305,0,0,0,72.52,0,1,6,357.5,209.5,,,5.54
262,Fish and rice with mushroom sauce,Seafood mixed dishes,3006,135,0,5.34,16.11,0.61,0.4,5.16,0.885,1.796,2.142,9,8,8,0,0,0,0,1,0.101,0.036,1.193,0.097,27,3,49,30,17.8,0.21,0,0.2,0.3,0.88,0,8.9,23,58,14,0.71,0.4,0.045,10.1,86,307,0,0,0,72.27,0,1,6,362.5,212.5,,,5.34
263,Fish and rice with tomato-based sauce,Seafood mixed dishes,3006,135,0,5.41,16.53,1.15,0.7,5.12,0.714,2.091,1.946,9,2,9,0,82,1,4394,8,0.107,0.04,1.489,0.125,29,6,55,35,17.5,0.17,0,2.4,0.2,1.5,0,5.7,12,53,18,1.02,0.42,0.078,10.1,151,310,0,0,0,71.68,0,1,6,362.5,212.5,,,5.41
264,Fish and vegetables excluding carrots,Seafood mixed dishes,3006,112,0,6.33,6.3,2.36,1.5,7.26,0.988,2.963,2.795,12,3,18,11,159,20,6303,191,0.041,0.07,1.276,0.133,0,15,15,15,28.9,0.24,0,4.6,0.3,2.14,0,13.9,16,60,23,0.73,0.36,0.077,9,249,303,0,0,0,78.83,0,1,6,305,178,,,6.33
265,Fish and vegetables including carrots,Seafood mixed dishes,3006,106,0,6.28,4.39,2.46,1.6,7.26,0.987,2.939,2.794,12,3,149,565,1448,2,6304,279,0.044,0.065,1.152,0.141,0,16,16,16,27.2,0.24,0,9.8,0.3,2.48,0,23.5,20,56,20,0.73,0.33,0.078,9,241,302,0,0,0,80.76,0,1,6,290,169,,,6.28
266,Fish curry,Seafood mixed dishes,3006,93,0,4.94,6.65,2.56,1.4,5.42,1.292,1.923,1.779,23,9,55,144,469,1,4521,95,0.039,0.056,1.278,0.151,0,17,17,17,27.5,0.33,0,8.9,0.1,1.58,0,8.8,25,90,18,0.62,0.37,0.098,7.4,275,351,0,0,0,81.45,0,1,6,769,475,,,4.94
267,Fish curry with rice,Seafood mixed dishes,3006,107,0,4.03,15.19,1.56,1,3.36,0.806,1.189,1.098,14,6,33,86,281,1,2713,57,0.088,0.039,1.354,0.127,22,12,49,33,17.3,0.2,0,5.4,0.1,0.97,0,5.3,19,71,16,0.85,0.42,0.086,7.4,179,309,0,0,0,76.07,0,1,6,292.5,170.5,,,4.03
268,Fish in lemon-butter sauce with starch item,Seafood mixed dishes,3006,101,0,5.46,10.98,1.07,1.1,3.78,1.362,0.712,1.279,15,12,35,4,265,1,0,503,0.108,0.035,0.944,0.075,13,15,38,28,22.7,0.43,0,2.3,0.1,0.93,0,5.7,11,96,13,0.67,0.35,0.051,7.6,94,452,0,0,0,78.34,0,1,6,833,515,,,5.46
269,Fish sandwich,Seafood sandwiches,3730,232.4444444,0,15.20777778,23.73111111,2.853333333,1.444444444,8.441111111,2.928,2.225,2.384555556,37.77777778,26.44444444,27,0,5.888888889,0.444444444,0,16.88888889,0.257777778,0.181777778,3.987666667,0.195444444,21.33333333,26.66666667,63,48.11111111,46.98888889,1.067777778,0,0.344444444,0.533333333,0.946666667,0,9.577777778,127.6666667,222.5555556,30.77777778,1.728888889,0.83,0.081444444,27.81111111,239.4444444,449,0,0,0,51.11111111,0,1,6,1884.555555,1172.222222,,,15.20777778
270,Fish shish kabob with vegetables,Seafood mixed dishes,3006,68,0,9.41,5.06,2.37,0.8,1.05,0.164,0.348,0.416,26,1,11,2,110,27,0,33,0.043,0.087,1.118,0.151,0,16,16,16,41,1.05,0,15,0.3,0.56,0,4.8,15,182,18,0.26,0.33,0.076,14.6,255,250,0,0,0,83.5,0,1,6,195,112,,,9.41
271,Fish timbale or mousse,Seafood mixed dishes,3006,149,0,10.08,1.96,0.92,0,10.95,5.481,2.557,0.819,108,107,107,0,5,2,0,69,0.037,0.113,0.725,0.074,1,11,13,12,80.3,0.8,0,0.1,2.4,0.69,0,0.9,41,200,15,0.4,0.45,0.014,21.5,147,247,0,0,0,75.67,0,1,6,1217,755,,,10.08
272,Fish with cream or white sauce,Seafood mixed dishes,3006,116,0,17.05,2.75,1.38,0,3.64,1.513,0.853,0.612,45,50,51,0,12,0,0,0,0.089,0.101,1.89,0.25,2,6,9,8,63.5,0.86,0,0.7,1.2,0.81,0,1.5,46,127,33,0.44,0.54,0.028,27,217,343,0,0,0,75.35,0,1,6,953,590,,,17.05
273,Fish with tomato-based sauce,Seafood mixed dishes,3006,80,0,16.28,1.59,1.06,0.4,0.69,0.129,0.1,0.24,38,10,16,0,74,1,3944,7,0.068,0.074,2.033,0.225,0,7,7,7,61,0.73,0,2.7,0.8,1,0,0.9,14,104,34,0.63,0.47,0.059,26.4,259,350,0,0,0,80.21,0,1,6,665,410,,,16.28
274,Fish wrap sandwich,Seafood sandwiches,3730,262,0,14.73,22.61,1.79,1.4,12.44,5.103,3.203,2.766,42,44,45,0,11,1,0,9,0.245,0.205,3.674,0.166,35,15,75,50,41.3,1.06,0,0,0.8,0.88,0,11.2,188,278,24,1.76,0.83,0.062,25.4,220,562,0,0,0,48.3,0,1,6,2121,1320,,,14.73
275,Flavored pasta,"Pasta mixed dishes, excludes macaroni and cheese",3204,87,0,2.47,14.45,0.99,0.4,2.21,0.436,0.993,0.719,0,18,19,0,14,0,0,0,0.307,0.064,0.681,0.021,14,4,28,18,1.3,0,0,0.4,0.1,0.27,0,2.2,6,22,7,0.41,0.21,0.037,8.6,21,174,0,0,0,79.73,0,1,4,286,184,,,2.47
276,Flavored rice,Rice mixed dishes,3202,106,1,2.72,19.34,0.38,1.1,2.15,0.395,0.919,0.689,0,15,16,0,13,0,0,25,0.047,0.041,1.652,0.065,0,10,10,10,7.3,0,0,0,0.1,0.35,0,2.4,6,88,37,0.38,0.95,0.1,2.4,81,292,0,0,0,74.62,0,1,3,290,169,,,2.72
